AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index Flood
0.855137024,0.454755784,0.83915493,0.436293279,0.828198347,0.309836066,0.377714286,0.223372652,0.371482335
0.147968526,0.426992288,0.875211268,0.35287169,0.221983471,0.650819672,0.342285714,0.304456094,0.170472568
0.114871743,0.360154242,0.742253521,0.339837067,0.176892562,0.61147541,0.558285714,0.546657929,0.157740475
0.133932489,0.367352185,0.868450704,0.221221996,0.214644628,0.414754098,0.423428571,0.211140236,0.134751144
0.107380042,0.333419023,0.897746479,0.194826884,0.146280992,0.742622951,0.533142857,0.543512451,0.133655148
0.119214279,0.373521851,0.9,0.167780041,0.193322314,0.480327869,0.456571429,0.323328965,0.123998292
0.113659183,0.411568123,0.561971831,0.295193483,0.167735537,0.454098361,0.729714286,0.693796418,0.136585327
0.180782668,0.389974293,0.888732394,0.187657841,0.226743802,0.67704918,0.652,0.545958934,0.351950213
0.104305897,0.38277635,0.890985915,0.509287169,0.125950413,0.244262295,0.361714286,0.119921363,0.102544162
0.188614585,0.479434447,0.890985915,0.210142566,0.319933884,0.545901639,0.392571429,0.24259502,0.178731626
0.107790044,0.378663239,0.895492958,0.266843177,0.138975207,0.572131148,0.525142857,0.428877239,0.150535509
0.163049632,0.349871465,0.424507042,0.342769857,0.229785124,0.637704918,0.690857143,0.625993884,0.178827123
0.295380931,0.36940874,0.870704225,0.243706721,0.29953719,0.559016393,0.375428571,0.232110092,0.382200535
0.147453842,0.240874036,0.877464789,0.466598778,0.240330579,0.362295082,0.364,0.147881171,0.143354313
0.103485892,0.288174807,0.895492958,0.299755601,0.118280992,0.401639344,0.529714286,0.473612931,0.110357165
0.192583756,0.535989717,0.884225352,0.245661914,0.274942149,0.362295082,0.368571429,0.193315858,0.145976243
0.10744634,0.5,0.9,0.166802444,0.151305785,0.440983607,0.609714286,0.486194845,0.13012056
0.112305303,0.402313625,0.886478873,0.242403259,0.18677686,0.414754098,0.454285714,0.333114897,0.131538908
0.119078193,0.219280206,0.85943662,0.238492872,0.167008264,0.742622951,0.654285714,0.547706422,0.151299078
0.112289601,0.876349614,0.742253521,0.220570265,0.177818182,0.257377049,0.376571429,0.190869375,0.100684998
